mode,rounds,clients,n_runs,seeds,elapsed_s_mean,elapsed_s_std,elapsed_overhead_s_mean,elapsed_overhead_s_std,elapsed_overhead_pct_mean,elapsed_overhead_pct_std,wall_clock_s_mean,wall_clock_s_std,wall_clock_overhead_s_mean,wall_clock_overhead_s_std,wall_clock_overhead_pct_mean,wall_clock_overhead_pct_std,proof_generation_total_s_mean,proof_generation_total_s_std,proof_verification_total_s_mean,proof_verification_total_s_std,encryption_total_s_mean,encryption_total_s_std,upload_bytes_mean,upload_bytes_std,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,test_auprc_mean,test_auprc_std,proofs_per_client_round,sources
baseline,20,3,1,42,520.5968866348267,0.0,0.0,0.0,0.0,0.0,462.49085807800293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248024.0,0.0,47.51060022938792,0.0,47.236728811021266,0.0,51.45406267120826,0.0,,results/cifar/keep_20260318_140651/comparison_report.json
dp,20,3,1,42,578.037594795227,0.0,57.44070816040039,0.0,11.033624986061865,0.0,514.4545591946417,0.0,51.96370111663873,0.0,11.235616922805125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248024.0,0.0,34.040295470849195,0.0,36.58805031446541,0.0,36.16777414884524,0.0,,results/cifar/keep_20260318_140651/comparison_report.json
he_concrete_tfhe,20,3,1,42,523.3476989269257,0.0,2.750812292098999,0.0,0.528395839990599,0.0,507.6844472885132,0.0,45.193589210510254,0.0,9.771780008435968,0.0,0.0,0.0,0.0,0.0,83.16839933395386,0.0,94743.62711864407,0.0,46.313950800097324,0.0,47.65526729559749,0.0,49.805984121220476,0.0,,results/cifar/keep_20260318_140651/comparison_report.json
he_concrete_tfhe_zkp,20,3,1,42,14598.054190158844,0.0,14077.457303524017,0.0,2704.0994029990557,0.0,15376.770263353983,0.0,14914.27940527598,0.0,3224.77280248436,0.0,44553.51708769798,0.0,7.115155935287476,0.0,82.04377698898315,0.0,103175.65,0.0,47.442168692450515,0.0,48.59087207996405,0.0,50.93788441487684,0.0,39,results/cifar/keep_20260318_140651/comparison_report.json
he_concrete_tfhe_zkp_dp,20,3,1,42,15257.638873815536,0.0,14737.04198718071,0.0,2830.797180221715,0.0,16047.037286071813,0.0,15584.54642799381,0.0,3369.698266633704,0.0,46298.68326163292,0.0,7.175138235092163,0.0,83.6296329498291,0.0,114027.85,0.0,33.67504522861593,0.0,34.57055817610063,0.0,35.37688315818612,0.0,39,results/cifar/keep_20260318_140651/comparison_report.json
he_tenseal,20,3,1,42,493.98559379577637,0.0,-26.611292839050293,0.0,-5.111688817631523,0.0,477.766872326533,0.0,15.276014248530089,0.0,3.302987287578701,0.0,0.0,0.0,0.0,0.0,0.9860236644744873,0.0,230385.59322033898,0.0,44.560066988079754,0.0,46.45714004941599,0.0,47.84077023519773,0.0,,results/cifar/keep_20260318_140651/comparison_report.json
he_tenseal_zkp,20,3,1,42,14846.459693193436,0.0,14325.862806558609,0.0,2751.8149213611227,0.0,15630.32878168424,0.0,15167.837923606237,0.0,3279.597349586542,0.0,45312.462057590485,0.0,7.20787501335144,0.0,0.8454160690307617,0.0,239010.18333333332,0.0,47.10319436539439,0.0,49.84723413379074,0.0,50.84100268425939,0.0,39,results/cifar/keep_20260318_140651/comparison_report.json
he_tenseal_zkp_dp,20,3,1,42,15083.458254098892,0.0,14562.861367464066,0.0,2797.3393121114077,0.0,15854.085750289874,0.0,15391.594892211871,0.0,3327.978191001551,0.0,45847.20373725891,0.0,7.547182083129883,0.0,0.8899009227752686,0.0,239574.45,0.0,33.6342747116683,0.0,36.22248427672957,0.0,35.45923503353051,0.0,39,results/cifar/keep_20260318_140651/comparison_report.json
zkp,20,3,1,42,15126.724113941193,0.0,14606.127227306366,0.0,2805.650130126854,0.0,15352.359942833582,0.0,14889.869084755579,0.0,3219.4947910179617,0.0,44422.69361591339,0.0,44.84487748146057,0.0,0.0,0.0,256604.0,0.0,45.954369523430884,0.0,47.83608490566038,0.0,49.93826803810051,0.0,39,results/cifar/keep_20260318_140651/comparison_report.json
zkp_sampled,20,3,1,42,14993.898254156113,0.0,14473.301367521286,0.0,2780.135982194915,0.0,15216.750625769297,0.0,14754.259767691294,0.0,3190.1732780203115,0.0,44010.397795677185,0.0,44.70314288139343,0.0,0.0,0.0,256604.0,0.0,45.86990803586902,0.0,47.74387447589098,0.0,49.15790334131984,0.0,39,results/cifar/keep_20260318_140651/comparison_report.json
