dataset,n,rate,sampled,prove_s_per_client_round,fraction_of_full_cost,m_for_p95,m_for_p99,p_detect_m1,p_detect_m5,p_detect_m10,p_detect_m25,p_detect_m50,p_detect_m100
healthcare,2914,0.01,30,0.5,0.0112,276,413,0.0103,0.0505,0.0985,0.2288,0.4066,0.6511
healthcare,2914,0.02,59,0.9,0.0209,143,217,0.0202,0.0973,0.1852,0.4016,0.6435,0.8752
healthcare,2914,0.05,146,2.3,0.0511,58,89,0.0501,0.2268,0.4024,0.7249,0.9252,0.9947
healthcare,2914,0.1,292,4.5,0.1011,29,44,0.1002,0.4104,0.6527,0.9294,0.9951,1.0
healthcare,2914,0.2,583,9.0,0.2006,14,21,0.2001,0.6727,0.8931,0.9963,1.0,1.0
healthcare,2914,0.3,875,13.5,0.3004,9,13,0.3003,0.8325,0.972,0.9999,1.0,1.0
healthcare,2914,0.5,1457,22.5,0.5006,5,7,0.5,0.9689,0.999,1.0,1.0,1.0
healthcare,2914,1.0,2914,44.9,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
creditcard,4130,0.01,42,0.7,0.0107,283,427,0.0102,0.0498,0.0973,0.2261,0.402,0.6447
creditcard,4130,0.02,83,1.3,0.0204,145,221,0.0201,0.0966,0.1839,0.3989,0.6398,0.8719
creditcard,4130,0.05,207,3.2,0.0504,58,89,0.0501,0.2268,0.4024,0.7246,0.9247,0.9945
creditcard,4130,0.1,413,6.4,0.1006,29,44,0.1,0.4097,0.6517,0.9288,0.995,1.0
creditcard,4130,0.2,826,12.8,0.2003,14,21,0.2,0.6725,0.8929,0.9963,1.0,1.0
creditcard,4130,0.3,1239,19.1,0.3001,9,13,0.3,0.8321,0.9719,0.9999,1.0,1.0
creditcard,4130,0.5,2065,31.8,0.5004,5,7,0.5,0.9688,0.999,1.0,1.0,1.0
creditcard,4130,1.0,4130,63.6,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
mnist,44426,0.01,445,6.9,0.0101,297,456,0.01,0.0491,0.0958,0.2226,0.3957,0.635
mnist,44426,0.02,889,13.7,0.02,148,228,0.02,0.0961,0.183,0.3968,0.6362,0.8678
mnist,44426,0.05,2222,34.3,0.0501,59,90,0.05,0.2263,0.4014,0.7228,0.9232,0.9941
mnist,44426,0.1,4443,68.4,0.1,29,44,0.1,0.4096,0.6514,0.9283,0.9949,1.0
mnist,44426,0.2,8886,136.9,0.2,14,21,0.2,0.6724,0.8927,0.9962,1.0,1.0
mnist,44426,0.3,13328,205.3,0.3001,9,13,0.3,0.832,0.9718,0.9999,1.0,1.0
mnist,44426,0.5,22213,342.1,0.5,5,7,0.5,0.9688,0.999,1.0,1.0,1.0
mnist,44426,1.0,44426,684.2,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
cifar,62006,0.01,621,9.6,0.01,297,456,0.01,0.0491,0.0958,0.2225,0.3956,0.6348
cifar,62006,0.02,1241,19.1,0.02,148,228,0.02,0.0961,0.1831,0.3968,0.6362,0.8678
cifar,62006,0.05,3101,47.8,0.0501,59,90,0.05,0.2263,0.4014,0.7228,0.9232,0.9941
cifar,62006,0.1,6201,95.5,0.1,29,44,0.1,0.4095,0.6514,0.9283,0.9949,1.0
cifar,62006,0.2,12402,191.0,0.2,14,21,0.2,0.6724,0.8927,0.9962,1.0,1.0
cifar,62006,0.3,18602,286.5,0.3,9,13,0.3,0.8319,0.9718,0.9999,1.0,1.0
cifar,62006,0.5,31003,477.5,0.5,5,7,0.5,0.9688,0.999,1.0,1.0,1.0
cifar,62006,1.0,62006,954.9,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
