mode,rounds,clients,n_runs,seeds,elapsed_s_mean,elapsed_s_std,elapsed_overhead_s_mean,elapsed_overhead_s_std,elapsed_overhead_pct_mean,elapsed_overhead_pct_std,wall_clock_s_mean,wall_clock_s_std,wall_clock_overhead_s_mean,wall_clock_overhead_s_std,wall_clock_overhead_pct_mean,wall_clock_overhead_pct_std,proof_generation_total_s_mean,proof_generation_total_s_std,proof_verification_total_s_mean,proof_verification_total_s_std,encryption_total_s_mean,encryption_total_s_std,upload_bytes_mean,upload_bytes_std,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,test_auprc_mean,test_auprc_std,proofs_per_client_round,sources
baseline,20,3,1,42,18.398825645446777,0.0,0.0,0.0,0.0,0.0,16.82436219851176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11656.0,0.0,71.7482876775552,0.0,55.0684799382716,0.0,54.895387948664315,0.0,,results/stock/keep_20260322_112006/comparison_report.json
dp,20,3,1,42,24.52226495742798,0.0,6.123439311981201,0.0,33.28168563571659,0.0,22.774683262236092,0.0,5.950321063724331,0.0,35.36729056065306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11656.0,0.0,72.21278192443239,0.0,52.65625,0.0,57.363261139186285,0.0,,results/stock/keep_20260322_112006/comparison_report.json
he_concrete_tfhe,20,3,1,42,193.0026547908783,0.0,174.60382914543152,0.0,948.9944223078246,0.0,175.7534384727478,0.0,158.92907627423605,0.0,944.6365597638792,0.0,0.0,0.0,0.0,0.0,213.99225521087646,0.0,18679334.766666666,0.0,71.74532588140421,0.0,55.555555555555564,0.0,60.60305393976861,0.0,,results/stock/keep_20260322_112006/comparison_report.json
he_concrete_tfhe_zkp,20,3,1,42,908.9369444847107,0.0,890.5381188392639,0.0,4840.189999080993,0.0,930.4124017556509,0.0,913.5880395571392,0.0,5430.149617427713,0.0,2231.422481775284,0.0,1.112971305847168,0.0,221.0011100769043,0.0,18680877.583333332,0.0,72.65166560069375,0.0,55.555555555555564,0.0,52.86328281959171,0.0,7,results/stock/keep_20260322_112006/comparison_report.json
he_concrete_tfhe_zkp_dp,20,3,1,42,913.7945346832275,0.0,895.3957090377808,0.0,4866.591630859699,0.0,936.6626915923166,0.0,919.8383293938049,0.0,5467.29985089819,0.0,2236.8297367095947,0.0,1.1549818515777588,0.0,226.0927963256836,0.0,18680875.25,0.0,71.84795253454423,0.0,56.06522817460317,0.0,57.85736140532151,0.0,7,results/stock/keep_20260322_112006/comparison_report.json
he_tenseal,20,3,1,42,25.992303371429443,0.0,7.593477725982666,0.0,41.271534783318366,0.0,22.279292742411297,0.0,5.454930543899536,0.0,32.42280735243601,0.0,0.0,0.0,0.0,0.0,2.68879771232605,0.0,673626.7457627119,0.0,72.2091395076378,0.0,55.489417989417994,0.0,53.12000414428409,0.0,,results/stock/keep_20260322_112006/comparison_report.json
he_tenseal_zkp,20,3,1,42,703.6449167728424,0.0,685.2460911273956,0.0,3724.4012434944507,0.0,739.0283895333608,0.0,722.2040273348491,0.0,4292.608651748673,0.0,2138.4418935775757,0.0,1.094348430633545,0.0,3.2839908599853516,0.0,675208.75,0.0,73.42497679393321,0.0,55.6712962962963,0.0,57.48000936069444,0.0,7,results/stock/keep_20260322_112006/comparison_report.json
he_tenseal_zkp_dp,20,3,1,42,718.8359653949738,0.0,700.437139749527,0.0,3806.9665599709983,0.0,754.7442344015673,0.0,737.9198722030555,0.0,4386.019888874777,0.0,2164.727239370346,0.0,1.0899467468261719,0.0,3.1197874546051025,0.0,675228.1,0.0,71.98712434862593,0.0,54.68253968253968,0.0,56.124626103653554,0.0,7,results/stock/keep_20260322_112006/comparison_report.json
zkp,20,3,1,42,677.0269985198975,0.0,658.6281728744507,0.0,3579.7294108140195,0.0,688.2967984676361,0.0,671.4724362691244,0.0,3991.072162774296,0.0,1991.2399933338165,0.0,2.8753304481506348,0.0,0.0,0.0,13196.0,0.0,71.2167217229889,0.0,52.99768518518518,0.0,57.89440590285926,0.0,7,results/stock/keep_20260322_112006/comparison_report.json
zkp_sampled,20,3,1,42,693.6910362243652,0.0,675.2922105789185,0.0,3670.3006137026764,0.0,704.5354580879211,0.0,687.7110958894094,0.0,4087.5908862104898,0.0,2045.9529135227203,0.0,2.982753038406372,0.0,0.0,0.0,13196.0,0.0,73.5972296192527,0.0,52.3341049382716,0.0,61.08744473794426,0.0,7,results/stock/keep_20260322_112006/comparison_report.json
